user_id,age,gender,bmi_status,goal,meal_type,meal_items,calories,protein_g,carbs_g,fats_g
1,23,Female,Underweight,Muscle Gain,Lunch,Kottu,700,25,90,25
2,30,Female,Obese,Weight Loss,Breakfast,String Hoppers,250,6,45,2
3,23,Female,Normal,Maintenance,Lunch,Kottu,700,25,90,25
4,18,Male,Normal,Maintenance,Breakfast,Milk Rice,300,7,50,5
5,28,Female,Normal,Maintenance,Lunch,Kottu,700,25,90,25
6,25,Female,Underweight,Muscle Gain,Dinner,Hoppers,400,10,60,10
7,28,Female,Normal,Maintenance,Lunch,Rice and Curry,600,20,80,20
8,25,Male,Underweight,Muscle Gain,Breakfast,Milk Rice,300,7,50,5
9,20,Male,Obese,Weight Loss,Breakfast,Milk Rice,300,7,50,5
10,24,Female,Obese,Weight Loss,Snack,Samosa,200,5,20,10
11,18,Male,Overweight,Weight Loss,Breakfast,Milk Rice,300,7,50,5
12,17,Female,Obese,Weight Loss,Breakfast,String Hoppers,250,6,45,2
13,25,Male,Normal,Maintenance,Dinner,Hoppers,400,10,60,10
14,23,Female,Overweight,Weight Loss,Breakfast,Milk Rice,300,7,50,5
15,17,Male,Underweight,Muscle Gain,Dinner,Pittu,450,12,65,12
16,25,Female,Underweight,Muscle Gain,Lunch,Kottu,700,25,90,25
17,20,Female,Overweight,Weight Loss,Breakfast,String Hoppers,250,6,45,2
18,27,Male,Overweight,Weight Loss,Breakfast,String Hoppers,250,6,45,2
19,21,Female,Normal,Maintenance,Snack,Samosa,200,5,20,10
20,16,Female,Normal,Maintenance,Lunch,Kottu,700,25,90,25
21,26,Male,Overweight,Weight Loss,Breakfast,Milk Rice,300,7,50,5
22,24,Male,Overweight,Weight Loss,Dinner,Pittu,450,12,65,12
23,30,Female,Obese,Weight Loss,Breakfast,String Hoppers,250,6,45,2
24,29,Female,Normal,Maintenance,Breakfast,Milk Rice,300,7,50,5
25,18,Female,Overweight,Weight Loss,Breakfast,Milk Rice,300,7,50,5
26,30,Male,Underweight,Muscle Gain,Breakfast,String Hoppers,250,6,45,2
27,16,Male,Underweight,Muscle Gain,Snack,Banana,100,1,27,0
28,29,Female,Underweight,Muscle Gain,Lunch,Rice and Curry,600,20,80,20
29,17,Male,Overweight,Weight Loss,Lunch,Kottu,700,25,90,25
30,28,Male,Overweight,Weight Loss,Breakfast,String Hoppers,250,6,45,2
31,19,Female,Overweight,Weight Loss,Lunch,Kottu,700,25,90,25
32,27,Male,Overweight,Weight Loss,Snack,Samosa,200,5,20,10
33,17,Female,Overweight,Weight Loss,Dinner,Pittu,450,12,65,12
34,16,Male,Normal,Maintenance,Dinner,Pittu,450,12,65,12
35,16,Male,Obese,Weight Loss,Snack,Samosa,200,5,20,10
36,21,Male,Underweight,Muscle Gain,Lunch,Kottu,700,25,90,25
37,27,Male,Normal,Maintenance,Snack,Banana,100,1,27,0
38,29,Female,Overweight,Weight Loss,Lunch,Kottu,700,25,90,25
39,29,Female,Overweight,Weight Loss,Breakfast,Milk Rice,300,7,50,5
40,15,Female,Normal,Maintenance,Dinner,Hoppers,400,10,60,10
41,29,Female,Normal,Maintenance,Breakfast,String Hoppers,250,6,45,2
42,24,Male,Obese,Weight Loss,Breakfast,Milk Rice,300,7,50,5
43,17,Male,Obese,Weight Loss,Lunch,Kottu,700,25,90,25
44,25,Male,Overweight,Weight Loss,Lunch,Kottu,700,25,90,25
45,25,Male,Obese,Weight Loss,Breakfast,Milk Rice,300,7,50,5
46,22,Male,Overweight,Weight Loss,Snack,Samosa,200,5,20,10
47,28,Female,Obese,Weight Loss,Lunch,Rice and Curry,600,20,80,20
48,19,Female,Overweight,Weight Loss,Snack,Samosa,200,5,20,10
49,29,Male,Obese,Weight Loss,Dinner,Hoppers,400,10,60,10
50,25,Male,Overweight,Weight Loss,Lunch,Rice and Curry,600,20,80,20
51,17,Female,Overweight,Weight Loss,Lunch,Rice and Curry,600,20,80,20
52,27,Male,Overweight,Weight Loss,Dinner,Pittu,450,12,65,12
53,17,Female,Underweight,Muscle Gain,Lunch,Kottu,700,25,90,25
54,24,Female,Obese,Weight Loss,Dinner,Hoppers,400,10,60,10
55,18,Female,Overweight,Weight Loss,Dinner,Pittu,450,12,65,12
56,17,Female,Obese,Weight Loss,Lunch,Rice and Curry,600,20,80,20
57,21,Female,Obese,Weight Loss,Snack,Banana,100,1,27,0
58,16,Female,Normal,Maintenance,Snack,Samosa,200,5,20,10
59,18,Female,Overweight,Weight Loss,Dinner,Hoppers,400,10,60,10
60,30,Female,Obese,Weight Loss,Breakfast,String Hoppers,250,6,45,2
61,28,Male,Overweight,Weight Loss,Lunch,Kottu,700,25,90,25
62,23,Male,Normal,Maintenance,Breakfast,String Hoppers,250,6,45,2
63,20,Male,Overweight,Weight Loss,Dinner,Pittu,450,12,65,12
64,18,Male,Obese,Weight Loss,Snack,Banana,100,1,27,0
65,20,Female,Normal,Maintenance,Breakfast,String Hoppers,250,6,45,2
66,27,Male,Overweight,Weight Loss,Snack,Samosa,200,5,20,10
67,23,Male,Underweight,Muscle Gain,Breakfast,Milk Rice,300,7,50,5
68,27,Female,Normal,Maintenance,Dinner,Pittu,450,12,65,12
69,19,Male,Normal,Maintenance,Breakfast,Milk Rice,300,7,50,5
70,18,Male,Normal,Maintenance,Lunch,Kottu,700,25,90,25
71,20,Female,Overweight,Weight Loss,Dinner,Pittu,450,12,65,12
72,29,Male,Normal,Maintenance,Lunch,Rice and Curry,600,20,80,20
73,16,Female,Obese,Weight Loss,Lunch,Kottu,700,25,90,25
74,18,Male,Overweight,Weight Loss,Breakfast,Milk Rice,300,7,50,5
75,17,Female,Underweight,Muscle Gain,Snack,Banana,100,1,27,0
76,15,Female,Obese,Weight Loss,Lunch,Rice and Curry,600,20,80,20
77,30,Female,Normal,Maintenance,Lunch,Kottu,700,25,90,25
78,20,Female,Obese,Weight Loss,Dinner,Hoppers,400,10,60,10
79,19,Male,Obese,Weight Loss,Dinner,Pittu,450,12,65,12
80,29,Female,Normal,Maintenance,Snack,Samosa,200,5,20,10
81,24,Female,Underweight,Muscle Gain,Snack,Banana,100,1,27,0
82,16,Male,Obese,Weight Loss,Lunch,Rice and Curry,600,20,80,20
83,28,Female,Obese,Weight Loss,Lunch,Kottu,700,25,90,25
84,26,Male,Obese,Weight Loss,Lunch,Rice and Curry,600,20,80,20
85,19,Male,Normal,Maintenance,Snack,Samosa,200,5,20,10
86,17,Male,Overweight,Weight Loss,Snack,Banana,100,1,27,0
87,22,Female,Underweight,Muscle Gain,Lunch,Kottu,700,25,90,25
88,22,Female,Normal,Maintenance,Snack,Banana,100,1,27,0
89,30,Male,Underweight,Muscle Gain,Snack,Samosa,200,5,20,10
90,20,Female,Normal,Maintenance,Dinner,Hoppers,400,10,60,10
91,21,Female,Overweight,Weight Loss,Dinner,Pittu,450,12,65,12
92,15,Female,Obese,Weight Loss,Breakfast,String Hoppers,250,6,45,2
93,27,Female,Overweight,Weight Loss,Snack,Banana,100,1,27,0
94,16,Male,Overweight,Weight Loss,Breakfast,String Hoppers,250,6,45,2
95,18,Male,Overweight,Weight Loss,Breakfast,Milk Rice,300,7,50,5
96,20,Female,Obese,Weight Loss,Snack,Samosa,200,5,20,10
